Nom de la fonction,Échantillons inclusifs,Échantillons exclusifs,% d'échantillons inclusifs,% d'échantillons exclusifs,
"iTextSharp.text.pdf.codec.PngImage.ReadPng",1,0,"0,02","0,00",
"iTextSharp.text.pdf.ColumnText.AddWaitingPhrase",11,0,"0,24","0,00",
"iTextSharp.text.pdf.ColumnText.Go",69,0,"1,53","0,00",
"iTextSharp.text.pdf.ColumnText.Go",32,0,"0,71","0,00",
"iTextSharp.text.pdf.ColumnText.GoComposite",38,0,"0,84","0,00",
"iTextSharp.text.pdf.ColumnText.SetACopy",1,0,"0,02","0,00",
"iTextSharp.text.pdf.FontDetails.ConvertToBytes",1,0,"0,02","0,00",
"iTextSharp.text.pdf.FontDetails.WriteFont",4,0,"0,09","0,00",
"iTextSharp.text.pdf.GlyphList..cctor",4,0,"0,09","0,00",
"iTextSharp.text.pdf.intern.PdfAnnotationsImp..ctor",1,0,"0,02","0,00",
"iTextSharp.text.pdf.intern.PdfAnnotationsImp.HasValidAcroForm",1,0,"0,02","0,00",
"iTextSharp.text.pdf.intern.PdfVersionImp.GetVersionAsByteArray",2,0,"0,04","0,00",
"iTextSharp.text.pdf.intern.PdfVersionImp.WriteHeader",2,0,"0,04","0,00",
"iTextSharp.text.pdf.intern.PdfViewerPreferencesImp.AddToCatalog",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PageResources.AddXObject",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfBoolean..cctor",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfChunk..ctor",8,0,"0,18","0,00",
"iTextSharp.text.pdf.PdfChunk..ctor",6,0,"0,13","0,00",
"iTextSharp.text.pdf.PdfChunk.GetCharWidth",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfContentByte..ctor",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfContentByte.AddImage",64,0,"1,42","0,00",
"iTextSharp.text.pdf.PdfContentByte.AddImage",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfContentByte.AddImage",57,0,"1,26","0,00",
"iTextSharp.text.pdf.PdfContentByte.AddImage",63,0,"1,40","0,00",
"iTextSharp.text.pdf.PdfContentByte.BeginText",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfContentByte.BeginText",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfContentByte.MoveText",5,0,"0,11","0,00",
"iTextSharp.text.pdf.PdfContentByte.Rectangle",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfContentByte.Reset",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfContentByte.Reset",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfContentByte.SanityCheck",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfContentByte.SetFontAndSize",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfContentByte.SetTextMatrix",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfContentByte.ShowText",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfContentByte.ShowText2",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfContentByte+GraphicState..ctor",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfContents..ctor",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfDictionary.Put",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfDictionary.ToPdf",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfDocument..ctor",26,0,"0,58","0,00",
"iTextSharp.text.pdf.PdfDocument.Add",64,0,"1,42","0,00",
"iTextSharp.text.pdf.PdfDocument.Add",115,0,"2,55","0,00",
"iTextSharp.text.pdf.PdfDocument.AddPTable",32,0,"0,71","0,00",
"iTextSharp.text.pdf.PdfDocument.AddWriter",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfDocument.CarriageReturn",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfDocument.Close",38,0,"0,84","0,00",
"iTextSharp.text.pdf.PdfDocument.GetCatalog",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfDocument.InitPage",16,0,"0,35","0,00",
"iTextSharp.text.pdf.PdfDocument.NewPage",7,0,"0,16","0,00",
"iTextSharp.text.pdf.PdfDocument.Open",26,0,"0,58","0,00",
"iTextSharp.text.pdf.PdfDocument.PushLeading",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfDocument.SetNewPageSizeAndMargins",9,0,"0,20","0,00",
"iTextSharp.text.pdf.PdfDocument.WriteLineToContent",8,0,"0,18","0,00",
"iTextSharp.text.pdf.PdfDocument+PdfInfo.AddProducer",10,0,"0,22","0,00",
"iTextSharp.text.pdf.PdfEncodings..cctor",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfEncodings.AddExtraEncoding",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfEncodings.ConvertToString",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfEncryption.CreateDocumentId",12,0,"0,27","0,00",
"iTextSharp.text.pdf.PdfFont.Width",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfImage..ctor",27,0,"0,60","0,00",
"iTextSharp.text.pdf.PdfIndirectObject.WriteTo",5,0,"0,11","0,00",
"iTextSharp.text.pdf.PdfLine.Add",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfName..cctor",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfName..ctor",4,0,"0,09","0,00",
"iTextSharp.text.pdf.PdfName..ctor",4,0,"0,09","0,00",
"iTextSharp.text.pdf.PdfName.EncodeName",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfNumber..ctor",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfObject.set_Content",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfObject.ToString",12,0,"0,27","0,00",
"iTextSharp.text.pdf.PdfPages.AddPage",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfPCell..ctor",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfPCell..ctor",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfPCell..ctor",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfPCell..ctor",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfPCell.set_RunDirection",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfPRow.CalculateHeights",40,0,"0,89","0,00",
"iTextSharp.text.pdf.PdfPRow.get_MaxHeights",40,0,"0,89","0,00",
"iTextSharp.text.pdf.PdfPRow.WriteBorderAndBackground",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfPRow.WriteCells",21,0,"0,47","0,00",
"iTextSharp.text.pdf.PdfPTable..ctor",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfPTable..ctor",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfPTable.AddCell",47,0,"1,04","0,00",
"iTextSharp.text.pdf.PdfPTable.CalculateHeights",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfPTable.EndWritingRows",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfPTable.GetFittingRows",4,0,"0,09","0,00",
"iTextSharp.text.pdf.PdfPTable.GetRowHeight",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfPTable.RowSpanAbove",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfPTable.set_TotalWidth",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfPTable.SkipColsWithRowspanAbove",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfPTable.WriteSelectedRows",29,0,"0,64","0,00",
"iTextSharp.text.pdf.PdfPTable.WriteSelectedRows",25,0,"0,55","0,00",
"iTextSharp.text.pdf.PdfPTable+ColumnMeasurementState.BeginCell",3,0,"0,07","0,00",
"iTextSharp.text.pdf.PdfStream.FlateCompress",19,0,"0,42","0,00",
"iTextSharp.text.pdf.PdfStream.SuperToPdf",2,0,"0,04","0,00",
"iTextSharp.text.pdf.PdfWriter..cctor",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfWriter..ctor",5,0,"0,11","0,00",
"iTextSharp.text.pdf.PdfWriter.Add",1,0,"0,02","0,00",
"iTextSharp.text.pdf.PdfWriter.Add",16,0,"0,35","0,00",
"iTextSharp.text.pdf.PdfWriter.AddDirectImageSimple",54,0,"1,20","0,00",
"iTextSharp.text.pdf.PdfWriter.AddDirectImageSimple",51,0,"1,13","0,00",
"iTextSharp.text.pdf.PdfWriter.AddSharedObjectsToBody",5,0,"0,11","0,00",
"iTextSharp.text.pdf.PdfWriter.AddToBody",8,0,"0,18","0,00",
"iTextSharp.text.pdf.PdfWriter.CheckPdfIsoConformance",5,0,"0,11","0,00",
"iTextSharp.text.pdf.PdfWriter.Close",34,0,"0,75","0,00",
